;sent_1;sent_2;answer
464;В этой точке Москвы будут сосредоточены 11 маршрутов наземного транспорта, пересадка на метро.;Кроме этого, как пояснил Сергей Собянин: «Здесь будет организована пересадка на метро, 11 маршрутов наземного городского транспорта, такси, и, конечно, это маршрут до «Зарядья» и Кремля».;1.0
465;Ожидаемый пассажиропоток станции «Нижняя Масловка» составит: на период запуска – 210 тысяч пассажиров в сутки, а также, на расчётный период (2025 год) – 290 тысяч пассажиров в сутки.;"Ожидаемый пассажиропоток станции «Нижняя Масловка» составит:на период запуска – 210 тыс. пассажиров в сутки;  на расчётный период (2025 г.) – 290 тыс. пассажиров в сутки.";1.0
466;«Для правительства города социальная поддержка малообеспеченных семей и вообще семей является приоритетом и одним из главных и серьезных денежных обязательств нашего города», — отметил Владимир Петросян, руководитель департамента труда и социальной защиты населения.;«Для правительства города социальная поддержка малообеспеченных семей и вообще семей является приоритетом и одним из главных и серьезных денежных обязательств нашего города», — дополнил свою речь, обращаясь к мэру, Владимир Петросян.;1.0
467;Мэр Москвы заявил также, что завершаются работы по строительству центра для испытания новых фармакологических препаратов.;Помимо этого, мэр Москвы отметил, что в настоящее время при центре Склифосовского проводятся работы по строительству нового центра по испытанию фармацевтических лекарственных препаратов.;1.0
468;«В Москве развернута системная большая работа», – подчеркнул Сергей Собянин.;«В Москве развернута системная большая работа», — отметил Сергей Собянин.;1.0
469;Однако в 2016 году Правительство Москвы приняло решение о том, чтобы оборудовать территорию парка и превратить его в современное пространство для работы и отдыха.;Благоустройство парка началось в 2016 году, когда правительство Москвы приняло решение сделать «Сад будущего» современным парком.;1.0
470;При оформлении станции «Ломоносовский проспект» использованы графические элементы в виде цифр.;А дизайн станции «Ломоносовский проспект» оформлен с элементами в виде цифр.;1.0
471;На субботнике торжественно заложат ещё 10 новых студенческих парков общей площадью 110 гектаров.;Будет проведена торжественная закладка 10 новых студенческих парков общей площадью 110 га.;1.0
472;Стоит отметить, что станция «Петровский парк» будет связана со станцией «Динамо» Замоскворецкой линии метро.;Со слов Сергея Собянина также стало известно, что новая станция будет являться смежной и пересадочной со станцией метро Москвы «Динамо».;1.0
473;В составе ПКЦ откроются приёмные и выписные подразделения, акушерский стационар (родильный блок, четыре операционные и реанимация), педиатрический блок (три операционные и реанимация), консультативно-диагностический центр для женщин (на 200 посещений в смену), консультативно-диагностический центр динамического наблюдения детей раннего возраста (на 200 посещений в смену).;"В составе ПКЦ будут открыты:  • приемные и выписные подразделения;  • акушерский стационар (родильный блок, 4 операционные и реанимация);  • педиатрический блок (3 операционные и реанимация);  • консультативно-диагностический центр для женщин (на 200 посещений в смену);  • консультативно-диагностический центр динамического наблюдения детей раннего возраста (на 200 посещений в смену).";1.0
474;Мэр Москвы Сергей Собянин поблагодарил за проявленную при создании нового центра инициативу олимпийскую чемпионку Анастасию Давыдову, а также инвесторов.;Мэр поблагодарил многократную олимпийскую чемпионку по синхронному плаванию Анастасию Давыдову за инициативу, проявленную при создании нового центра, и инвесторов.;1.0
475;По словам Сергея Собянина, специалисты приступили к возведению «парящего» панорамного моста.;Также градоначальник Собянин сообщил, что в парке уже начато строительство парящего моста – уникальной смотровой площадки.;1.0
476;Об этом мэр Москвы сообщил на своей странице в твиттере в пятницу, 9 мая.;Об этом на своей странице в социальной сети написал мэр Москвы Сергей Собянин.;1.0
477;«За последние пять лет в Москве произошла самая настоящая информационная революция», – рассказал столичный градоначальник.;Выступая на заседании далее, глава города сообщил, что в Москве за последние пять лет происходила целая информационная революция, которая и повлияла на столь высокое увеличение числа пользователей интернета.;1.0
478;Мэр Москвы вручил благодарственные письма педагогам училища, а также осмотрел тренировочные залы, учебные кабинеты, столовую.;Мэр Москвы Сергей Собянин приехал поздравить педагогический состав, ветеранов, студентов и выпускников с 45-летием с момента основания данного учебного заведения.;0.0
479;По словам мэра Москвы Сергея Собянина, новая школа создавалась с учетом пожеланий местных жителей, учеников и их родителей.;По словам мэра Москвы, проектировалось новое здание при участии педагогов и учащихся школы.;1.0
480;С 2011 года в Москве была создана система сосудистых центров, включающая в себя 29 клиник, готовых круглосуточно оказать помощь пациентам с инфарктом, инсультом, острым коронарным синдромом и другими болезнями сердца.;Для справки:  Начиная с 2011 г. в Москве была создана сеть сосудистых центров – специализированных отделений городских клинических больниц, предназначенных для оказания экстренной помощи пациентам в случае «сосудистой катастрофы» (инфаркта, инсульта, острого коронарного синдрома и т.п.).;1.0
481;В ходе встречи президент поддержал предложение властей Москвы о том, чтобы сносить устаревшие жилищные дома, вместо ремонта, и выразил уверенность, что на месте старых пятиэтажек следует возвести новое жилье.;Глава государства поддержал предложение столичных властей о сносе устаревшего жилого фонда столицы вместо его капитального ремонта.;1.0
482;Согласно постановлению, можно использовать новый формат компактного сезонного кафе, прилегающего или расположенного на фасаде здания, в том числе между выступающими архитектурными элементами: входными группами, приямками, пилястрами, пилонами, эркерами, выносными витринами лестницы, пандусами и другими.;Так, благодаря новым правилам, у владельцев сезонных кафе появится возможность использования нового формата компактного кафе, непосредственно прилегающего или расположенного на фасадах зданий, в том числе между выступающими архитектурными элементами строений.;1.0
483;«Мы можем гарантировать гражданам, которые хотят остаться в своем районе, останутся в районе — 100%», — заявил Сергей Собянин.;«Мы можем гарантировать гражданам, которые хотят остаться в своем районе, останутся в районе — 100%», — отметил Сергей Собянин в ходе разговора с жителями города.;1.0
484;Отметим, что причиной реконструкции послужит износ важных элементов сооружения.;Далее сообщим, что решение о необходимости капитального ремонта путепровода было принято в связи с износом отдельных элементов и конструкций вследствие длительной регулярной эксплуатации объекта.;1.0
485;Для детей оборудовали бассейн, активный и спортивный залы, медицинский блок, комнаты для игр и так далее.;"На этой площади размещены групповые ячейки (раздевалка, комната для игр, занятий и приёма пищи, спальня, туалетная комната); бассейн; спортивный зал; актовый зал с холлом и медицинский блок.";0.0
486;Дети получают знания и навыки, которые пригодятся в их дальнейшей жизни.;Здесь детей обучают не только основным предметам, но и профильным, позволяющим ребятам уже в старшей школе понимать, чем они хотят заниматься в будущем.;0.0
487;На встрече с депутатами Мосгордумы мэр также рассказал о том, что столица становится популярным туристическим направлением.;Помимо экономической темы, мэр Москвы указал в своем докладе и о росте туристов, и вообще, о росте привлекательности города.;1.0
488;Работы будут проводиться в ночное время, грунт доставят баржами по Москве-реке.;Грунт для парка «Зарядье» в ЦАО Москвы будут доставлять специально организованными ночными рейсами на баржах по Москве-реке.;0.0
489;По словам Сергея Собянина, за последние несколько десятков лет тренды развития городов во всем мире претерпели существенные изменения.;Также мэр градоначальник сообщил, что за последние несколько лет тренды в развитии крупных мировых городов заметно изменились.;1.0
490;Сотрудники общественного штаба будут непрерывно следить за ситуацией на избирательных участках в течение всего дня и получат доступ к архиву записей камер видеонаблюдения для разбора возникающих конфликтных ситуаций.;Специально для этого на всех избирательных участках Москвы были оборудованы системы видеонаблюдения, которые будут работать в открытом режиме на протяжении голосования и подсчета голосов.;0.0
491;Новая дорога призвана облегчить подъезды к новым станциям и двум уже существующим.;Открытие обновленного шоссе улучшит движение двух прилегающих районов, подъезды к двум существующим станциям метро, а также четырем строящимся станциям, расположенным поблизости.;1.0
492;Ранее группа депутатов от «Единой России» предложили внести в федеральный законопроект о реновации ветхого жилого фонда в столице ряд поправок, которые будут направлены в Госдуму в виде отзыва Мосгордумы на проект документа.;Ранее группа депутатов от «Единой России» внесла в Госдуму законопроект о реновации жилищного фонда Москвы.;0.0
493;В мероприятии примут участие представители сорока регионов.;Участие в нем примут представители 37 российских регионов.;0.0
494;Также он добавил, что после осуществления задуманных планов в столице будет 1 тысяча км наземного и подземного метро.;Собянин представил запуск движения скорых электричек на Смоленском направлении Московской железной дороги и добавил, что в дальнейших планах реализация наземного метро по Московскому центральному диаметру с конечными остановками «Одинцово» и «Лобня».;0.0
495;В ходе своего визита Сергей Собянин сообщил, что движение по новому участку столичной подземки может быть запущено уже в декабре этого года.;Открытие нового участка Калининско-Солнцевской линии метрополитена Москвы запланировано на декабрь текущего года.;1.0
496;В учреждении можно будет получить ряд платных услуг, в частности, кружки, секции, а также методическую помощь для родителей.;"Новый детский сад предоставляет такие услуги, как обучение детей на русском и иностранном (английском) языках; посещение ими различных кружков и спортивных секций; психологическое и логопедическое сопровождение.";0.0
497;Товар можно получить в любом магазине-участнике программы.;Напомним, что социальный сертификат — это размещенный на электронной социальной карте купон на определенную сумму и вид товара, которые его владелец может получить в любом из магазинов-участников программы.;0.0
498;Мэр Москвы Сергей Собянин лично пригласил горожан посетить площадки фестиваля.;В рамках встречи Сергей Собянин пригласил горожан принять участие в самом крупном событии этого лета – фестивале «Московское лето.;1.0
499;Так, количество этих пунктов общественного питания увеличилось на четверть.;Количество летних сезонных заведений, расположенных на территории Москвы, в текущем году было увеличено на четверть.;0.0
500;По словам Сергея Собянина, за последние несколько десятков лет тренды развития городов во всем мире претерпели существенные изменения.;Также мэр градоначальник сообщил, что за последние несколько лет тренды в развитии крупных мировых городов заметно изменились.;1.0
501;Сотрудники общественного штаба будут непрерывно следить за ситуацией на избирательных участках в течение всего дня и получат доступ к архиву записей камер видеонаблюдения для разбора возникающих конфликтных ситуаций.;Специально для этого на всех избирательных участках Москвы были оборудованы системы видеонаблюдения, которые будут работать в открытом режиме на протяжении голосования и подсчета голосов.;0.0
502;Новая дорога призвана облегчить подъезды к новым станциям и двум уже существующим.;Открытие обновленного шоссе улучшит движение двух прилегающих районов, подъезды к двум существующим станциям метро, а также четырем строящимся станциям, расположенным поблизости.;1.0
503;В мероприятии примут участие представители сорока регионов.;Участие в нем примут представители 37 российских регионов.;0.0
504;Также он добавил, что после осуществления задуманных планов в столице будет 1 тысяча км наземного и подземного метро.;Собянин представил запуск движения скорых электричек на Смоленском направлении Московской железной дороги и добавил, что в дальнейших планах реализация наземного метро по Московскому центральному диаметру с конечными остановками «Одинцово» и «Лобня».;0.0
505;В учреждении можно будет получить ряд платных услуг, в частности, кружки, секции, а также методическую помощь для родителей.;"Новый детский сад предоставляет такие услуги, как обучение детей на русском и иностранном (английском) языках; посещение ими различных кружков и спортивных секций; психологическое и логопедическое сопровождение.";0.0
506;Мэр Москвы Сергей Собянин лично пригласил горожан посетить площадки фестиваля.;В рамках встречи Сергей Собянин пригласил горожан принять участие в самом крупном событии этого лета – фестивале «Московское лето.;1.0
507;В связи с этим, местный житель попросил у Сергея Собянина построить в районе еще один каток.;Также мэр столицы Сергей Собянин осмотрел каток с искусственным льдом в районе Братеево.;0.0
508;Власти Москвы и дальше будут продолжать реализацию программы «Моя улица», которая хорошо себя зарекомендовала.;На Новинском бульваре и Садово-Кудринской улице тротуары также были значительно расширены.;0.0
509;Предпосылкой для создания единой радиологической информационной системы (ЕРИС) стало комплексное переоснащение московских больниц и поликлиник аппаратами лучевой диагностики, проведённое в 2011–2013 годах.;Градоначальник Москвы  заявил, что на базе московского НПЦ медицинской радиологии, которому в 2016 году исполняется двадцать лет, создан на самом деле совершенно новый информационный центр.;0.0
510;Сосенки включительно.;Этот участок был построен в рамках реконструкции Калужского шоссе.;0.0
511;Был принят Жилищный кодекс, на самом деле надлежащим образом он не функционировал, хотя жителям эти помещения нужны для хранения велосипедов, колясок и другого имущества», – считает мэр Москвы Сергей Собянин.;Чаще всего эти помещения служат для размещения колясок, велосипедов и различных вещей.;0.0
512;В районе Дмитровского шоссе будет удобный выезд с Северо-Западной на Северо-Восточную хорду — в сторону аэропорта Шереметьево либо в сторону Ярославского шоссе.;По словам мэра Сергея Собянина – этот винчестерный тоннель первый в своем роде в Москве.;0.0
513;«Плюс у нас существует программа продажи руинированных объектов, на базе которых можно либо реконструировать, либо построить новые детские дошкольные учреждения.;Мэр Москвы Сергей Собянин отметил, что зачастую детские сады и школы, построенных на деньги частных инвесторов, впоследствии передаются в собственность города, в то время как инвесторы сохраняют свои права лишь на меньшую долю этих образовательных учреждений.;0.0
514;Мэр Москвы поздравил с Днем российского предпринимательства бизнесменов на сессии форума «Бизнес-весна 2017».;В честь Дня российского предпринимательства мэр Москвы Сергей Собянин поздравил бизнесменов.;1.0
515;Власти Москвы установили объемы возможного строительства на промышленных площадках по 15 тысяч квадратных метров на гектар – это выше средней плотности городской застройки.;По словам градоначальника, власти Москвы выделили огромные территории для застройки на промышленных площадках.;1.0
516;Образовательные учреждения предусматриваются в районах комплексной застройки, где возводится не только жилье, но и объекты инфраструктуры, офисы.;Штат работников – 57 чел., из них 24 воспитателя и 6 преподавателей дополнительных занятий.;0.0
517;Зрителей, которые приходят полюбоваться на это зрелище, с каждым годом становится всё больше и больше», – отметил столичный градоначальник.;По словам Сергея Собянина, фестиваль с каждым годом набирает всю большую популярность в городе.;0.0
518;Также благодаря этому произойдет рост заработной платы сотрудников сферы образования, здравоохранения, социальной защиты, культуры и других областей.;Также Сергей Собянин отметил, что с помощью этих средств можно будет увеличить и заработные платы в некоторых сферах.;0.0
519;Последние два вида объединены в одну дисциплину под названием «комбайн», где спортсмен во время кросса на дистанции 3200 метров стреляет на четырёх огневых рубежах.;Лидер стартует первым, за ним, через соответствующее время на дистанцию уходит спортсмен, занимающий после 3 видов программы 2-е место.;0.0
520;Об этом Собянин написал на своей странице в социальной сети «Вконтакте»: «Руками москвичей сделаны лучшие в мире комплексы ПВО и космические спутники», — написал в после Сергей Собянин.;На данный момент в Москве производят хлеб, мясо, молоко, мороженое, лекарства, космические спутники и многое другое.;0.0
521;Второй этап строительства будет завершен к 2017 году.;Проект планируется завершить в 2017 году.;0.0
522;Напомним, что ранее депутаты «Единой России» внесли в Госдуму законопроект о реновации жилищного фонда Москвы.;Ранее группа депутатов от «Единой России» внесла в Госдуму законопроект о реновации жилищного фонда Москвы.;0.0
523;Напомним, фестиваль проводится в российской столице уже в шестой раз.;Фестиваль «Путешествие в Рождество» пройдет в Москве в шестой раз на 42 площадках в центральной части города и других административных округах столицы.;0.0
524;Мэр Москвы подчеркнул, что перед машиностроителями поставлена задача создать поезд нового поколения, на уровне лучших мировых стандартов.;Также отметим, что полностью завершить процесс обновления подвижного состава Таганско-Краснопресненской линии планируется в 2018 году.;0.0
525;«Один из таких примеров — это удивительный «Театр на набережной», детский театр, который ютился в подвале», — отметил Сергей Собянин.;Театр реализует образовательные и развивающие программы, проводит тренинги и мастер-классы в сфере театрального искусства.;0.0
526;Кроме того, градоначальник Москвы рассказал о том, что почти третья часть государственных заказов отходит малому бизнесу.;Кроме того, мэр Москвы отметил, что количество экспортных поставок в городе увеличилось на 30 процентов.;0.0
527;Среди них, в частности, содержится право на судебную защиту в случае, если переселенцев не устроит размер денежного возмещения, новая квартира или само решение о включении дома в программу.;Также горожанам дается возможность возмещения стоимости квартиры в случае сноса дома.;0.0
528;При этом пропускная способность проезжей части улиц не изменилась.;Сложная для водителей схема движения на Таганской площади была упрощена.;0.0
529;На данном этапе строительства  завершено сооружение левого и правого станционных тоннелей, наклонного входа № 2 и основных конструкций помещений для размещения тягово-понизительной подстанции (ТПП).;"В целом, строительство участка Третьего пересадочного контура Московского метрополитена от станции «Нижняя Масловка» до станции «Деловой центр» позволит:  улучшить обслуживание общественным транспортом сотрудников и гостей ММДЦ «Москва-Сити» (ежедневно – порядка 300 тыс. человек);  повысить качество транспортного обслуживания жителей целого ряда районов Москвы за счёт создания новой скоростной беспересадочной связи между ними, позволяющей сократить временные затраты пассажиров на поездку по городу (минуя центр), а также частично снизить загрузку северо-западных участков перегруженных линий и улучшить транспортное обслуживание существующих, строящихся и проектируемых объектов.";0.0
530;Москвичи, желающие провести дополнительное озеленение своего двора, могут проголосовать за это предложение в системе «Активный гражданин».;«На сегодняшний день, Сергей Семенович, формируется перечень зеленых насаждений, планируемых к высадке в следующем году, который включает в себя более 40 тыс. деревьев и более чем 300 тыс. кустарников», — отметил А.Кульбачевский.  По его словам, зеленые насаждения будут высаживаться в том числе в рамках программы «Миллион деревьев», «Моя улица», комплексного благоустройства города.;0.0
531;Мэр Москвы также объяснил, что ждет малый бизнес и как поступать предпринимателям, которые владеет помещением в сносимом доме.;Кроме того, мэр Москвы Сергей Собянин напомнил, что уже завтра в центрах госуслуг и на портале «Активный гражданин» закроются голосования по новой программе реновации в столице.;0.0
532;Были добавлены специальные места для инвалидных колясок.;Специально для них вагон оборудован площадками для колясок.;0.0
533;«Мы последовательно улучшаем движение на Волгоградском проспекте.;Устаревшие клеверные развязки заменяют на новые современного типа.;0.0
534;Сергей Собянин назвал строящийся ПКЦ уникальным.;Сергей Собянин рассказал, что объем строительства составил около 50 тыс. кв. м.;0.0
535;По словам мэра Сергея Собянина, на благоустроенных улицах и площадях Москвы в скором времени проведут озеленение.;По словам мэра Москвы Сергея Собянина, было завершено полное благоустройство Таганской площади в рамках масштабного проекта «Моя улица».;0.0
536;Станцию открыли досрочно, изначально предполагалось, что работы займут 14 месяцев.;Все работы планировалось завершить за 14 месяцев.;0.0
537;Мэр Москвы Сергей Собянин сегодня посетил строящуюся станцию «Раменки», которая относится к Калининско-Солнцевской линии.;Открытие нового участка Калининско-Солнцевской линии метрополитена Москвы запланировано на декабрь текущего года.;0.0
538;Общее число номеров для проживания в апарт-отеле  — около пятисот.;В их числе детские сады и школы.;0.0
539;В гостиницах используются экологически чистые напольные и настенные покрытия, а уборка производится с помощью специальных чистящих средств.;Вентилируемый фасад выполнен из стекла и декоративной керамической плитки.;0.0
540;В рамках капремонта метромоста запланированы работы по усилению существующих элементов и конструкций, будет отремонтирована архитектурно-художественная подсветка Нагатинского моста.;Кроме этого, ремонту также подвергнется архитектурно-художественная подсветка Нагатинского моста.;1.0
541;Оборудованы три детские игровые площадки.;Здесь приведены в порядок проезжая часть и тротуары, созданы новые парковочные карманы, восстановлены газоны, упорядочены воздушные кабельные линии, размечена велодорожка длиной около 1 км и выполнены другие работы.;0.0
542;Согласно данным, жертвами урагана стали 11 человек, а в столичных больницах находятся 108 человек.;Стихия унесла жизни 11 человек, более 100 человек пострадали.;1.0
543;Изначально предполагалось, что срок их службы составит не более 20-25 лет, однако в результате он был многократно превышен.;Сами дома были рассчитаны на эксплуатацию в течение 25 лет, а уже вторая партия домов могла простоять около 50 лет.;0.0
544;В настоящий момент на Новом Арбате запущено автомобильное движение, а высадка деревьев пройдет в ноябре.;Высадка новых деревьев и кустарников пройдет в ноябре, что обеспечит максимальную приживаемость зеленых насаждений.;0.0
545;"Работы пройдут в рамках комплексного ремонта домов, который проводит Фонд капитального ремонта;  — в случае если фасад дома будет требовать неотложного ремонта, одновременно с ним починят и крышу.";Узнать, в каком году и какие работы будут проводиться в вашем доме можно на московском портале госуслуг.;0.0
546;Градоначальник добавил, что власти выделят дополнительные средства на оборудование легкоатлетического манежа.;В ходе осмотра легкоатлетического манежа мэр Москвы Сергей Собянин объявил о том, что столичные власти готовы выделить дополнительные средства и направить их на доукомплектацию этого объекта.;1.0
547;Ранее Сергей Собянин отмечал, что за последние пять лет транспортная инфраструктура Москвы стала гораздо более развитой.;Мэр Москвы Сергей Собянин осмотрел ход строительство нескольких станций метро, подтвердив, что все работы идут без сбоев.;0.0
548;Сергей Собянин подчеркнул, что в Москве в 10 раз увеличилось количество методик и направлений оказания высокотехнологичной помощи.;Во время посещения городской клинической больницы имени Д. Плетнева мэр Москвы Сергей Собянин заявил, что за последнее время в столице существенно вырос объем оказания высокотехнологичной медицинской помощи в больницах.;1.0
549;Сегодня на линию Таганско-Краснопресненскую линию официально вышел метропоезд нового поколения «Москва».;С 2017 года по 2020 год компания «Метровагонмаш» предоставит для пользования подземке Москвы более 900 поездов нового поколения.;0.0
550;Это современная клиника, которая будет способна принимать до 20 тысяч родов.;Ввод в эксплуатацию нового Перинатально-кардиологического центра позволит ежегодно оказывать амбулаторную помощь 17 тыс. беременным женщинам, принимать роды у 13 тыс. матерей, а также проводить хирургическое лечение 3,5 тыс. женщин и детей в год.;0.0
